"","V1","V2","V3","V4","V5","V6"
"1",0.690771211846732,0.329149175109342,0.126674167742021,0.312276633875445,0.358759976853617,0.684586185356602
"2",0.310238167294301,0.215251334081404,0.520725747011602,0.42646143133752,0.444791763043031,0.300620681955479
"3",0.551443982752971,0.461778979655355,0.79651352900546,0.86514316375833,0.536803598725237,0.112463530083187
"4",0.208656563004479,0.993436828115955,0.0551606455817819,0.567453775531612,0.272667503426783,0.726158450450748
"5",0.894701920030639,0.822398648387752,0.948714103875682,0.284861187590286,0.610790570313111,0.853685554140247
"6",0.0495161122409627,0.0662100714398548,0.456103742890991,0.662166149308905,0.704942513746209,0.555377169745043
"7",0.754656877671368,0.749896976980381,0.344209927949123,0.19421106390655,0.120551047218032,0.284840935631655
"8",0.405585189536214,0.630133600533009,0.274283759482205,0.74562608145643,0.927712732600048,0.0888367166509852
"9",0.962180117284879,0.184452067990787,0.881078574550338,0.905261038988829,0.0448363646166399,0.41690341308713
"10",0.126561716455035,0.557874635048211,0.602194962021895,0.0282063463935629,0.832305826223455,0.979478887305595
